Question,Answer
Como homologar boleto de cobranca,\Temos um email especifico contatar nbspa Central de Atendimento Cliente Pessoa Juridica 1130031000 \
Como realizar o primeiro acesso de contrato gerado na agencia,\Ir em \Acesso a Conta\ e selecionar a opcao Primeiro acesso para contratos efetuados na agencia clique aqui \
Como verificar o extrato no Bradesco Net Empresa,\Acessar a Conta e clicar na Aba de Saldo e Extrato Esta disponivelnbsp Extrato Ultimos Lancamentos gt Extrato Mensal  Por Periodo gt Extrato de Cheques gt Extrato de DOC e TED \
Como baixar e processar o arquivo de retorno,\Bradesco Net Empresagt Transmissao de Arquivosgt Arquivos de Retorno nbspO arquivo retorno e processado no sistema do cliente apos a recepcaonbsp \
Qual o horario limite para transmissao de arquivos MultiPag,\Acesse anbspconta pelo Bradesco Net Empresa clique na Aba Pagamentosgt PagforMultipaggtnbspHorario Limite por Modalidade \
Como aumentar o limite do cartao de credito,\Acesse sua conta pelo Bradesco Net Empresanbspclique na AbanbspCartoes gt Outras Opcoesgt Alterar Limites Disponiveis para Compra e Saquenbsp \
Como alterar o nome do cedente nos boletos de cobranca emitidos via Net Empresa,\No registro de titulos online o sistema considera o nome do cedente que consta no cadastro da agencia carteiraconta Se houver necessidade de alteracao solicite a agencia detentora da conta de cobranca \
Como excluir dda no Bradesco Net Empresa,\Acessar a Conta e clicar na Aba Pagamentos esta disponivel as opcoes no submenu Debito Direto Autorizado DDA \
Como ter acesso a segunda via de boleto,\Acessar Inicionbspgt Solucoes Integradas gt Outros Produtos e Servicos gt 2 Via de Boleto \
Perdi minha senha do certificado digital Como proceder,\Verificar com o Master do contrato Caso o usuario seja o Master sera necessario gerar um novo usuario e senha e realizar a troca do tipo de acesso Inicio gt Bradesco Net Empresa gt Como Acessar a Conta selecione o tipo de acesso \
Qual senha devo usar para acessar o Bradesco Celular,\Utilizar as mesmas credenciais de acesso ao Net Empresa \
Como baixar e processar o arquivo de retorno,\Bradesco Net EmpresagtnbspTransmissao de Arquivosgt Arquivos de Retorno O arquivo retorno e processado no sistema do cliente apos a recepcaonbsp \
Como cadastrar o token no app net empresa,\Entrar em contato com o Gerente da Conta \
Assinado o contrato terei acesso imediato aos servicos do Bradesco Net Empresa,\Para ter acesso as transacoes va ate a agencia mencionada no contrato para retirar seu dispositivo de seguranca Depois e so acessar sua conta pelo site e contar com toda a facilidade do Bradesco Net Empresa Alguns servicos como cobrancas e WebTA exigem a contratacao de um convenio especifico que deve ser solicitado na agencia Se a sua Empresa ja tem esses convenios basta habilitar os servicos aos outros procuradores no ambiente gerencial do Bradesco Net Empresa \
Perdi meu dispositivo de seguranca como cadastro um novo,\O cadastro de um novo dispositivo e realizado na Agencia Bradesco \
Como faco para bloquear ou sustar cheques,\O processo de sustar ou bloquear cheque e realizado pelo Gerente da Agencia \
Como faco para alterar um boleto de cobranca pelo net empresa,\O cliente pode acessarnbsp Pagina Inicial Net EmpresagtCobranca ManutencaogtConsultar Manutencao \
Como pagar boleto de cobranca no net empresa,\Ir em \Acesso a Conta\ entrar com as credencias e ir na aba pagamentogt contasgt boleto de cobranca \
Como realizar consultas de titulos pendentes no net empresa,\O cliente pode acessarnbsp Pagina InicialgtnbspCobrancagt Relatoriosgt Consultar relatoriosgt selecionar agenciaconta e carteiragt titulos pendentes2 via de boleto nbsp nbsp nbsp \
Como emitir boleto de cobranca pelo net empresa,\No acesso a conta Pagina Inicialgt Cobrancagt nbspCobranca Instantaneanbsp Incluir Titulo nbsp nbsp ltcobrancagt \
Como acessar o Bradesco Net Empresa pelo Internet Explorer 11 no Windows 7 ou 8,\Para acessar o Net Empresa no Internet Explorer 11 e so adicionar os sites do Bradesco no Modo de Compatibilidade Para uma melhor experiencia acesse httpsnavegadorexclusivobradesco e instale o Navegador Exclusivo Bradesco \
Como contratar o Bradesco Net Empresa,\Voce deve preencher o contrato e envialo a sua agencia Entenda os tipos de contrato e preencha aqui \
Como excluir DDA no Bradesco Net Empresa,\Acessar a Conta e clicar na Aba Pagamentos esta disponivel as opcoes no submenu Debito Direto Autorizado DDA \
Posso usar o sistema operacional Windows de 64 bits para acesso ao Net Empresa,\Sim o Net Empresa pode ser acessado de sistemas de 64 bits Para uma melhor experiencia acesse httpsnavegadorexclusivobradesco e instale o Navegador Exclusivo Bradesco \
Como fazer uma folha de pagamento no Bradesco Net Empresa,\Para realizar folha de pagamento e necessario contratar o servico na agencia procure seu gerente \
Como baixar o app do bradesco net empresa,\AcessarInicio gt Solucoes Integradas gt Outros Produtos e Servicos gt Aplicativos Bradesco \
Como alterar o nome do cedente nos boletos de cobranca emitidos via Net Empresa,\Contatar gerente da conta \
Como proceder caso o usuario master esquecer a senha,\Sera necessario gerar um novo usuario e senha e realizar a troca do tipo de acessoInicio gt Bradesco Net Empresa gt Como Acessar a Conta \
E possivel emitir 2 via de boleto bancario via Bradesco Net Empresa,\AcessarInicio gt Solucoes Integradas gt Outros Produtos e Servicos gt 2 Via de Boleto \
Como liberar acessos para usuario no Net Empresa,\Primeiramente sera necessario criar um usuario acessarnbsp Inicio gt Bradesco Net Empresa gt Como Acessar a Conta apos criar o usuario solicitar ao Master do contrato a inclusao em um perfil \
Nao consigo autorizar nenhuma transacao pelo OBB Plus Como faco para configurar as permissoes,\O usuario Master deve acessar Administracao gt Controle de Autorizacao gt Alcada  Assinatura \
Como faco uma transmissao de arquivos WebTA,\Acesse sua conta pelo Bradesco Net Empresa e escolha as opcoes Transmissao de Arquivos Selecione os servicos desejados e clique em Adicionar Arquivos gt Enviar Arquivos Voce tambem pode consultar arquivos enviados e de retorno assim como o historico da movimentacaoPara saber mais acesse aqui \
Quais sao os tipos de acesso atraves do aplicativo Bradesco Net Empresa para celular,\O aplicativo possibilita duas opcoes de acesso por Usuario e Senhanbspou por DDD e Celular Para quem e indicado o acesso via usuario e senha  E indicado aos clientes que ja acessam ao Net empresa utilizando usuario e senha ou para os casos em que o cliente realizar o primeiro acesso pelo celular neste caso o cliente podera gerar o seu usuario e senha direto no aplicativo bastando acessar a opcao \ainda nao acesso o Bradesco Net Empresa pelo Computador\ Para quem e indicado o acesso via DDD e Celular  E indicado aos clientes que ja acessam o aplicativo por DDD e Celular ou aos clientes que acessam o Net Empresa utilizando Certificado Digital Bradesco ou ICPBrasil para estes casos e necessario que o cliente acesse o Net empresa e associe um numero de DDD e Celular para acesso ao aplicativo bastando acessar a aba \personalizacao e seguranca\ cadastro de celular e informar o DDD e Celular que irao acessar ao Bradesco Net Empresa Celular \
Como faco para abrir uma contapoupanca,\O cliente pode abrir atraves do Net Empresa Inicio gt Solucoes Integradas gt ContaCorrente gt Abra sua Conta ou indo na agencia de sua preferencia \
Como imprimir relatorio de boleto de cobranca no Bradesco Net Empresa,\O cliente pode acessarnbsp Pagina InicialgtnbspCobrancagt nbspRelatoriosgtnbspConsultar Relatoriosgt selecionar agencia conta e carteira e qual o tipo de relatorio necessario \
Como excluir um Usuario Master do Net Empresa,\Este servico esta disponivel somente para masteres nbspBasta acessar o Bradesco Net Empresa e escolher as opcoes Administracao gt Consultar Alterar BloquearDesbloquear ou Excluir Usuario gt Escolher o Mastergt Excluir Usuario nbspSera exibido o formulario Aditivo de ContratoExclusao de master que devera ser impresso assinado e entregue na agencia em 2 vias para aprovacao \
Como desbloquear o meu usuario,\O cliente pode solicitar ao Master do contrato Caso o usuario seja o Master sera necessario gerar um novo usuario e senha e realizar a troca do tipo de acesso Inicio gt Bradesco Net Empresa gt Como Acessar a Conta e clicar no tipo de acesso da preferencia \
Como faco para antecipar o pagamento da fatura do cartao de credito,\Para antecipar o pagamento de sua fatura contate a Central de Atendimento Cartoes PJ nbsp nbsp nbsp Atendimento ao Portador do Cartaonbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp Capitais e Regioes metropolitanas 40020022nbsp Demais localidades 08005700022nbspnbsp nbsp nbsp nbsp nbsp Atendimento aos Representantes Legais da EmpresaExecutivo de ContaSegmentos Empresas e Varejonbsp Capitais e Regioes metropolitanas 30036849 Demais localidades 08007266849nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbspnbsp \
Os comprovantes de pagamento no net empresa ficam disponiveis por quanto tempo,\Os comprovantes ficam disponiveisnbsppornbsp5 anos \
Como faco para cancelar meu Certificado Digital,\Para cancelar ou revogar o Certificado Digital Bradesco em caso de perda roubo acesso indevido necessidade de alteracao de informacoes comprometimento da chave seguranca e da midia armazenada ligue para 3003 1000 capitais e regioes metropolitanas ou 0800 202 1000 demais localidades Devem solicitar o cancelamento o titular do Certificado ou a empresaorgao quando o titular do certificado for funcionario empregado ou servidor \
Quais servicos e transacoes estao disponiveis no acesso atraves do aplicativo Bradesco Net Empresa para celular,\O aplicativo disponibiliza diversos servicos e e importante saber que existem dois perfis de acesso ao aplicativo CONTRATO COM UM UNICO APROVADOR Clientes com Contrato Completo do Bradesco Net Empresa que associaram um unico aprovador responsavel por toda a movimentacao tera o acesso ao Menu com os seguintes servicos Saldo Extrato Pagamentos de Boleto de Cobranca Conta de Consumo Tributos Tranferencias Bancaria DOC e TED DDA Cartoes Emprestimos Antecipacoes de Recebiveis Deposito de Cheque Cheque Agendamento Investimentos Pendentes e Recarga de Celular CONTRATO COM DOIS OU MAIS APROVADORES Clientes com Contrato Completo do Bradesco Net Empresa que associaram mais de um aprovador tera o acesso ao Menu com os seguintes servicos Saldo Extrato Deposito de Cheque Pendentes bradesco empresas aplicativo bradesco empresasemitir boletoComo faco para gerar boletocartoesextratocobrancaemprestimo meu emprestimocomo faco pra gerar boleto pra recebimentos de clientescomo emiti o boleto do rg \
Qual a taxa cobrada sobre o registro de um titulo,\Entrar em contato com o Gerente da Conta \
Por que ao clicar em acessar a conta no navegador exclusivo o mesmo fica carregando e nao acessa,\Para esses caso realizar o procedimento de limpeza de cookies Ir no Menu do Navegador gtnbsp Opcoes gtnbsp Configuracoes do Navegadornbsp e realizar a limpeza \
Como trocar o certificado digital para usuario e senha,\O cliente pode acessar Inicio gt Bradesco Net Empresa gt Como Acessar a Contagt Trocar tipo de acesso pessoa juridica \
Estou fazendo a ativacao do OBB Plus e o botao OK nao aparece na tela O que devo fazer,\Verifique se o aplicativo Java Virtual Machine JVM nao esta instalado \
Como criar um usuario e vinculalo a um perfil,\Para criar um usuario acessarnbsp Inicio gt Bradesco Net Empresa gt Como Acessar a Conta e selecionar o tipo de acesso a ser utilizado apos criar o usuario solicitar ao Master do contrato a inclusao no perfil \
Como gerar certificado digital,\O cliente pode acessarnbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp Inicio gt Bradesco Net Empresa gt Como Acessar a Conta e selecionar Acesso com certificado Digital Bradesconbsp \
Como alterar o nome do cedente nos boletos de cobranca emitidos via Net Empresa,\Contatar gerente da conta \
Onde cadastro o token no app net empresa,\Entrar em contato com o Gerente da Conta \
Todos os usuarios terao acesso aos mesmos servicos do Bradesco Net Empresa,\Todos os usuarios terao acesso aos mesmos servicos do Bradesco Net Empresa No Bradesco Net Empresa e possivel criar perfis de acesso diferentes para cada usuario O UsuarioMaster determina as transacoes que podem ser acessadas pelos outros usuarios da EmpresaClique aqui e saiba mais \
Como verificar o extrato no bradesco net empresa,\Para realizar consulta de Saldos e Extratos pelo Bradesco Net Empresa e necessario acessar o Bradesco Net Empresa selecionar aba Saldos e Extratos e escolhernbsp o tipo de extrato que deseja visualizar correntepoupancainvestimentos \
O que e o servico de Conciliacao Bancaria,\Para mais informacoes acessarInicio gtnbsp Solucoes Integradas gt Gestao de Caixa gt Conciliacao Bancaria \
Como alterar o nome do cedente nos boletos de cobranca emitidos no OBB Plus,\Ao emitir um boleto de cobranca no OBBPlus o sistema enxerga a razao social do contrato Net Empresa Solicite a seu gerente o cancelamento do contrato atual preencha um novo contrato com a razao social que deve ser exibida nos boletos de cobranca e ative novamente o OBBPlus \
Como faco uma transmissao de arquivos WebTA,\Bradesco Net EmpresagtnbspTransmissao de Arquivosgt Envio de Novos Arquivosgt Selecione o servico e adicionar arquivos \
Como verifico a cota de consorcio,\O cliente consegue consultar seguindo esse caminho No site do Bradesco Empresa  Inicio gt Solucoes Integradas gt Consorcios gt Servicos gt Extrato \
O que e o servico MultiPag,\O MultiPagnbspBradesco simplifica e automatiza o processo de contas a pagar da sua empresa realizando o pagamento a seus fornecedores por meio de transmissao de dados entre sua empresa e o banco Clique Aqui para maiores informacoes \
Como efetuar o Download do Navegador Exclusivo Bradesco,\O cliente pode acessarnbspIniciogt Bradesco Net Empresagt Navegador Exclusivo Bradesco Se preferir Clique Aqui para efetuar o downloadnbsp \
E necessario ter o java instalado na maquina para acessar o Bradesco Net Empresa,\Utilize o Navegador Exclusivo Bradesco para acessar o Bradesco Net Empresanbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp Inicio gt Bradesco Net Empresa gt Navegador Exclusivo Bradesco \
Como fazer transmissao de arquivos pelo net empresa,\Acesse a conta nanbsppagina do Bradesco Net Empresa e depois clique em Transmissao de Arquivosgt envio de novos arquivosadicionar arquivos nbsp nbsp \
Cada procurador tem apenas 1 perfil de acesso,\Sim O usuario Master define 1 perfil para cada procurador e determina a quais contas servicos e alcadas tem acesso \
O OBB Plus permite cadastrar usuarios locais,\Sim o Master deve acessar Administracao gt Usuario gt Incluir Os usuarios locais cadastrados nao serao autorizados a para enviar e recepcionar arquivos e poderao apenas fazer operacoes offline \
E possivel editar o arquivo remessa do OBB Plus,\Nao pois os arquivos estao criptografados \
Como realizar o pagamento de IPVA pelo net empresa,\Ir em \Acesso a Conta\ entrar com as credencias e ir na aba pagamento e selecionar a opcao de Tributos \
So o master pode ter o token da conta PJ,\O Token esta disponivel para todos clientes Procuradores Legais da conta \
Como aprovar uma transacao pendente,\Pagina Incialgt Outros Servicosgt Pendentes ou Pendentes para a Empresa tambem existe a opcao no menu lateral \
Em quais navegadores posso acessar o Bradesco Net Empresa,\O acesso e atraves do Navegador Exclusivo Bradesconbspinstalar basta acessar Inicio gt Bradesco Net Empresa gt Navegador Exclusivo Bradesco \
Como gerar o certificado digital,\O cliente pode acessarInicio gt Bradesco Net Empresa gt Como Acessar a Conta enbspselecionar Acesso com Certificado Digital Bradesconbsp nbsp \
Quais sao as politicas de acesso e de cadastramento de usuarios no OBB Plus,\Os Usuarios Masteres sao automaticamente cadastrados e ficam liberados para acessar e operar no OBB Plus Os outros usuarios precisam ser autorizados pelo Master Caso a empresa possua varios usuarios que nao estejam cadastrados no Net Empresa o Master devera cadastralos no ambiente do OBB Plus \
Como acessar o Net Empresa com usuario e senha,\Clique na aba Acesso a Conta marque o tipo de acesso Usuario e Senha na sequencia digitenbspos dados solicitados e Cliquenbspem Avancar \
Quais sao os prerequisitos para o uso do OBB Plus,\Acesse aqui o item Como contratar e confira os requisitos basicos para instalar e usar o OBB Plus \
Como efetuar pagamentos pelo net empresa,\Ir em \Acesso a Conta\ entrar com as credencias e ir na aba pagamento nbsp nbsp \
Onde tenho acesso ao extrato no net empresa,\Para realizar consulta de Saldos e Extratos pelo Bradesco Net Empresa e necessario acessar o Bradesco Net Empresa selecionar aba Saldos e Extratos e escolhernbsp o tipo de extrato que deseja visualizar correntepoupancainvestimentos \
Como fazer antecipacao de emprestimo pelo net empresa,\Acessar a Conta e clicar na Aba Emprestimos esta disponivel as opcoes no submenu Antecipacao de Recebiveis ou Desconto de Titulos \
Como cadastrar nova senha para usuario do Net Empresa,\A senha nao pode ser alterada para criar uma nova senha o cliente precisa gerar uma novo usuario Inicio gt Bradesco Net Empresa gt Como Acessar a Conta \
Como faco para localizar um arquivo enviado pelo Bradesco Net Empresa,\Acesse sua conta pelo Bradesco Net EmpresagtnbspClique na Aba Transmissao de Arquivosgtnbsp Consulta de Arquivos e Movimentacoesgt Selecione Arquivos Enviadosgtnbspou utilize a \Busca Detalhada\ \
Quantas contas posso associar a um unico contrato do Bradesco Net Empresa,\Voce pode associar ate 200 contas desde que o UsuarioMaster tenha as cadastrado no contrato de acesso \
Quais sao as responsabilidades de perfil de acesso,\O Master pode fazer a inclusao dos usuarios para acesso as diversas operacoes disponiveis e determinar a alcada por perfil forma de acesso de cada usuario Usuario e Senha Certificado ICP Brasil ou Certificado Bradesco e permissoes de acesso a transmissao de arquivos \
Como utilizar o token na funcao de validacao digital,\O cliente pode acessarInicio gt Bradesco Net Empresa gt Dispositivos de Seguranca \
Qual e a validade do certificado digital net empresa,\O Certificado tem a validade de 5 Anos \
Como verificar retorno de HPAG,\Bradesco Net EmpresagtTransmissao de Arquivosgt Arquivos de Retorno \
Como gerar um boleto de cobranca no Bradesco Net Empresa sendo que nao sou usuario master,\O cliente pode acessarnbsp Pagina InicialgtnbspCobrancagt CObranca InstantaneagtnbspIncluir Titulo \
Como alterar a senha do usuario no net empresa,\A senha nao pode ser alterada para criar uma nova senha o cliente precisa gerar uma novo usuario Inicio gt Bradesco Net Empresa gt Como Acessar a Conta \
Como faco para alterar o certificado digital do usuario master,\Em caso de usuario Master sera necessario gerar um novo Cerificado enbsp realizar a troca do tipo de acesso Inicio gt Bradesco Net Empresa gt Como Acessar a Conta \
Por que aparece o erro acesso nao autorizado no Bradesco Net Empresa,\O acesso foi bloqueado pelo Master solicitar ao Master o desbloqueio Para mais informacoes contatar a Central de Relacionamento Cliente Pessoa Juridica  Capitais e regioes metropolitanas 30031000 \
Como gerar meu usuario e senha de acesso ao Net Empresa ,\Clique na opcao Cadastre usuario e senha e preencha os dados solicitadosnbsp Clique aqui para criar o seunbspusuario e senha \
Como acessar o Bradesco Net Empresa pelo Internet Explorer 11 no Windows 7 ou 8,\Utilize o Navegador Exclusivo Bradesco para acessar o Bradesco Net Empresanbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp Inicio gt Bradesco Net Empresa gt Navegador Exclusivo Bradesco \
Como faco para colocar um pagamento em debito automatico no net empresa,\Acessar a Conta e clicar na Aba Pagamentos esta disponivel as opcoes no submenu Debito Automatico \
Onde posso arquivar meu Certificado Digital,\O certificado pode ser armazenado em midias removiveis pendrive CD entre outros Lembrese voce deve proteger seu certificado senhas e dispositivos criptograficos mantendoos sob seu exclusivo controle sendo integralmente responsavel pela sua guarda divulgacao e uso indevido \
Como faco para bloquear o recebimento de titulos vencidos na minha carteiraconta de cobranca,\Boletos vencidos so podem ser pagos no banco de origem Solicite em sua agencia para habilitar no cadastro da conta de cobranca a funcionalidade de bloqueio para recebimento de titulos vencidos \
O Banco cobra tarifa pela realizacao de transacoes atraves do Bradesco Net Empresa para celular,\O Cliente so e tarifado pelas transacoes excedentes a franquia de sua cesta de tarifas \
Ao acessar a minha conta apresenta a mensagem acesso negado,\Verificar com o Master do contrato Caso o usuario seja o Master sera necessario gerar um novo usuario e senha e realizar a troca do tipo de acesso Inicio gt Bradesco Net Empresa gt Como Acessar a Conta \
Como efetuar a baixa do gravame,\A Baixa do Gravame e feita de forma automatica em ate 10 dias uteis apos a quitacao do saldo devedor da cota a qual fica vinculada a assembleia posterior ao pagamentoPara que a baixa do gravame ocorra e necessario que o contrato esteja liquidado e a documentacao do veiculo regularizada ou seja emitida e sem nenhum tipo de pendencia como multas IPVA etc Depois da baixa do gravame voce pode emitir a documentacao do veiculo em seu nome ou em nome de um terceiroSe apos o prazo nao houver a baixa automatica entre em contato com sua Agencia de Relacionamento ou nossa Central de Atendimento \
Quais produtos estao disponiveis no OBB Plus,\O OBB Plus engloba varias solucoes de contas a receber ou a pagar Confira aqui a lista completa de produtos disponiveis \
Como faco para excluir uma conta do Net Empresa,\E necessario solicitar o Aditivo de Exclusao de Contasnbsp Acesse sua conta e escolha as opcoes Administracao gt Consultar ou Excluir contas para Acesso gt Selecionar as contas desejadas gt excluir Apos a etapa de Assinatura Eletronica o pedido de exclusao sera encaminhado a agencia principal para aprovacao do gerente Quando a exclusao estiver aprovada a conta sera excluida do sistema \
Como faco para instalar o aplicativo Bradesco Net Empresa para celular no celular,\O aplicativo e disponibilizado nas lojas App Store iPhone e Google play Android para baixalo basta acessar a loja de aplicativos e no campo de busca digitar \Bradesco Net Empresa\ \
Como faco antecipacao de cartao de credito pelo net empresa,\Para realizar antecipacao de cartoes pelo Bradesco Net Empresa e necessario 1Ter um limite de credito cadastrado pela agencianbsp 2Acessar o Bradesco Net Empresanbsp 3Selecionar aba \EmprestimosAntecipacao de recebiveisAntecipacao de recebiveiscartoes Selecione as bandeiras a serem antecipadas\nbsp nbsp nbsp \
Tem como desbloquear cheques pelo Bradesco Net Empresa,\Acessar a Conta e clicar na Aba Cheques esta disponivel na opcao do submenu Cheques Emitidos pela Empresa nbsp nbsp \
Como fazer o aditivo de um master no contrato do Bradesco Net Empresa,\Para acrescentar um novo master contatar gerente da contanbsp nbsp nbsp \
Qual o limite de usuarios com perfil Master que podem ser cadastrados no contrato,\Podem ser difinidos no minimo 1 e no maximo 3 usuarios com perfil MasterEntenda os tipos de contrato e preencha aqui \
